Date,Status,X,Y,Z,Source,Time,SessionTime
2024-03-02 16:05:28.599,OnTrack,-369.0,1516.0,-159.0,pos,0 days 00:00:00.232000,0 days 02:01:46.168000
2024-03-02 16:05:28.979,OnTrack,-358.0,1738.0,-158.0,pos,0 days 00:00:00.612000,0 days 02:01:46.548000
2024-03-02 16:05:29.139,OnTrack,-349.0,1946.0,-159.0,pos,0 days 00:00:00.772000,0 days 02:01:46.708000
2024-03-02 16:05:29.559,OnTrack,-339.0,2204.0,-159.0,pos,0 days 00:00:01.192000,0 days 02:01:47.128000
2024-03-02 16:05:29.719,OnTrack,-334.0,2333.0,-159.0,pos,0 days 00:00:01.352000,0 days 02:01:47.288000
2024-03-02 16:05:30.059,OnTrack,-322.0,2609.0,-159.0,pos,0 days 00:00:01.692000,0 days 02:01:47.628000
2024-03-02 16:05:30.259,OnTrack,-313.0,2804.0,-158.0,pos,0 days 00:00:01.892000,0 days 02:01:47.828000
2024-03-02 16:05:30.479,OnTrack,-306.0,2950.0,-159.0,pos,0 days 00:00:02.112000,0 days 02:01:48.048000
2024-03-02 16:05:30.859,OnTrack,-291.0,3276.0,-159.0,pos,0 days 00:00:02.492000,0 days 02:01:48.428000
2024-03-02 16:05:31.019,OnTrack,-282.0,3489.0,-159.0,pos,0 days 00:00:02.652000,0 days 02:01:48.588000
2024-03-02 16:05:31.459,OnTrack,-269.0,3851.0,-159.0,pos,0 days 00:00:03.092000,0 days 02:01:49.028000
2024-03-02 16:05:31.839,OnTrack,-260.0,4082.0,-158.0,pos,0 days 00:00:03.472000,0 days 02:01:49.408000
2024-03-02 16:05:32.059,OnTrack,-253.0,4264.0,-159.0,pos,0 days 00:00:03.692000,0 days 02:01:49.628000
2024-03-02 16:05:32.219,OnTrack,-249.0,4397.0,-159.0,pos,0 days 00:00:03.852000,0 days 02:01:49.788000
2024-03-02 16:05:32.519,OnTrack,-239.0,4663.0,-158.0,pos,0 days 00:00:04.152000,0 days 02:01:50.088000
2024-03-02 16:05:32.739,OnTrack,-233.0,4846.0,-157.0,pos,0 days 00:00:04.372000,0 days 02:01:50.308000
2024-03-02 16:05:32.959,OnTrack,-227.0,5030.0,-156.0,pos,0 days 00:00:04.592000,0 days 02:01:50.528000
2024-03-02 16:05:33.119,OnTrack,-220.0,5247.0,-154.0,pos,0 days 00:00:04.752000,0 days 02:01:50.688000
2024-03-02 16:05:33.559,OnTrack,-211.0,5515.0,-152.0,pos,0 days 00:00:05.192000,0 days 02:01:51.128000
2024-03-02 16:05:33.799,OnTrack,-200.0,5832.0,-149.0,pos,0 days 00:00:05.432000,0 days 02:01:51.368000
2024-03-02 16:05:34.039,OnTrack,-197.0,5916.0,-148.0,pos,0 days 00:00:05.672000,0 days 02:01:51.608000
2024-03-02 16:05:34.399,OnTrack,-186.0,6283.0,-145.0,pos,0 days 00:00:06.032000,0 days 02:01:51.968000
2024-03-02 16:05:34.799,OnTrack,-179.0,6557.0,-142.0,pos,0 days 00:00:06.432000,0 days 02:01:52.368000
2024-03-02 16:05:34.979,OnTrack,-173.0,6792.0,-140.0,pos,0 days 00:00:06.612000,0 days 02:01:52.548000
2024-03-02 16:05:35.399,OnTrack,-163.0,7171.0,-137.0,pos,0 days 00:00:07.032000,0 days 02:01:52.968000
2024-03-02 16:05:35.719,OnTrack,-158.0,7311.0,-136.0,pos,0 days 00:00:07.352000,0 days 02:01:53.288000
2024-03-02 16:05:36.019,OnTrack,-148.0,7571.0,-134.0,pos,0 days 00:00:07.652000,0 days 02:01:53.588000
2024-03-02 16:05:36.359,OnTrack,-141.0,7723.0,-132.0,pos,0 days 00:00:07.992000,0 days 02:01:53.928000
